epoch,loss,val_loss
0,0.0187106176635931,2.0283376755969584e-08
1,1.1194101489386204e-09,2.3264505599751573e-10
2,2.4432525420050345e-10,3.081791766224029e-10
3,2.978044638392829e-10,3.5315653179601725e-10
4,3.240717055409585e-10,2.1644447345536832e-10
5,3.243008520611389e-10,3.7201691727162256e-10
6,3.2678148998070886e-10,2.9506982968108275e-10
7,3.2773015766451944e-10,3.410076110377247e-10
8,3.2293049613532123e-10,4.32246682890991e-10
9,2.3622929578991755e-12,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
0,3.3464035478707714,2.736865562551162
1,2.8657976501244415,3.0697675312266632
2,2.687086721927302,2.517520273433012
3,2.6207170300703515,2.4733164731193993
4,2.4965119038514336,2.4369879329905793
5,2.5287667397340736,2.422290886149687
6,2.445401646081714,2.3427596232470345
7,2.4079811691512756,2.3350889262031105
8,2.365616628712387,2.298037851558012
9,2.34517261203832,2.2780306339263916
10,2.3164374284206146,2.311739248387954
11,2.2860338438677843,2.211162342744715
12,2.277541851499482,2.2538378098431755
13,2.2571581269014045,2.178739645901848
14,2.2432188304673657,2.194292517269359
15,2.2333535076752273,2.217623710632324
16,2.209992273984388,2.1575144178727093
17,2.209820394406764,2.1410754287944123
18,2.194562578452553,2.1753975363338696
19,2.2006948737998173,2.1639168402727913
